,0
0,23796.666666666664
1,100645.0
2,209362.11111111124
3,342648.6666666664
4,498015.77777777764
5,671707.5555555557
6,862890.6666666667
7,1069313.6666666665
8,1288772.6666666665
9,1524479.777777778
10,1768329.8888888895
11,2028414.5555555553
12,2299181.6666666684
13,2577883.222222224
14,2869132.1111111124
15,3167229.7777777803
16,3475090.000000002
17,3792690.777777775
18,4111233.555555556
19,4442143.77777778
20,4778287.22222222
21,5104410.11111111
22,5445059.111111114
23,5804821.777777772
24,6304376.555555553
25,7391450.944444445
26,7780049.444444445
27,8187985.166666668
28,8594410.611111112
29,9006480.0
30,9412913.611111108
31,9819198.277777778
32,10229333.055555545
33,10620013.05555556
34,11046642.5
35,11460043.5
36,11828727.444444444
37,12267240.611111112
38,12633619.500000002
39,13078474.77777778
40,13430781.611111108
41,13800939.83333333
42,14248455.055555554
43,14598974.111111108
44,14949225.944444442
45,15387481.66666666
46,15777757.72222222
47,16128925.0
48,16480988.72222222
49,14428396.333333332
