,0
0,13965.777777777777
1,28266.88888888889
2,37788.22222222224
3,45527.55555555552
4,52313.333333333314
5,58326.22222222223
6,63853.33333333334
7,68934.0
8,73598.66666666667
9,78145.33333333334
10,82214.44444444447
11,86289.55555555555
12,90138.44444444451
13,93719.3333333334
14,97239.33333333339
15,100529.77777777787
16,103718.66666666674
17,106822.44444444438
18,109620.88888888889
19,112447.55555555562
20,115129.99999999996
21,117333.11111111112
22,119663.11111111114
23,122198.2222222221
24,127296.22222222219
25,143517.0
26,145414.8888888889
27,147524.55555555556
28,149462.55555555556
29,151364.8888888889
30,153053.0
31,154628.55555555556
32,156168.33333333317
33,157329.2222222223
34,158943.66666666666
35,160276.3333333333
36,160933.55555555553
37,162477.22222222225
38,163011.8888888889
39,164507.33333333337
40,164794.3333333333
41,165277.88888888888
42,166647.88888888888
43,166845.1111111111
44,167030.11111111112
45,168166.44444444438
46,168745.66666666666
47,168889.11111111112
48,169035.6666666667
49,226781.12500000003
