,0
0,13947.000000000007
1,28267.000000000015
2,37801.66666666666
3,45526.333333333285
4,52345.333333333336
5,58338.000000000015
6,63885.66666666667
7,68945.00000000004
8,73630.33333333337
9,78173.00000000007
10,82251.66666666656
11,86312.66666666674
12,90182.66666666656
13,93743.99999999983
14,97239.66666666658
15,100524.99999999985
16,103722.33333333305
17,106824.33333333362
18,109648.33333333343
19,112483.99999999955
20,115172.00000000052
21,117336.33333333314
22,119699.6666666662
23,122232.00000000041
24,127349.66666666635
25,143608.33333333346
26,145465.33333333317
27,147498.33333333294
28,149465.99999999942
29,151479.99999999974
30,153130.66666666692
31,154690.00000000026
32,156229.66666666677
33,157353.66666666698
34,159027.66666666666
35,160340.6666666663
36,161007.00000000012
37,162468.99999999988
38,163086.3333333334
39,164596.6666666664
40,164873.33333333334
41,165299.00000000044
42,166620.00000000012
43,166909.0
44,167130.33333333334
45,168235.33333333264
46,168793.33333333334
47,168974.33333333334
48,169074.66666666666
49,145323.3333333335
